countryOrRegion,holidayName,normalizeHolidayName,isPaidTimeOff,countryRegionCode,date
Argentina,Día Pase a la Inmortalidad del General D. Manuel Belgrano [Day Pass to the Immortality of General D. Manuel Belgrano],Día Pase a la Inmortalidad del General D. Manuel Belgrano [Day Pass to the Immortality of General D. Manuel Belgrano],,AR,2010-06-20
Norway,Søndag,Søndag,,NO,2010-06-20
Sweden,Söndag,Söndag,,SE,2010-06-20
Croatia,Dan antifašističke borbe,Dan antifašističke borbe,,HR,2010-06-22
Croatia,Dan državnosti,Dan državnosti,,HR,2010-06-25
Finland,Juhannusaatto,Juhannusaatto,,FI,2010-06-25
Slovenia,dan državnosti,dan državnosti,,SI,2010-06-25
Sweden,Midsommarafton,Midsommarafton,,SE,2010-06-25
Finland,Juhannuspäivä,Juhannuspäivä,,FI,2010-06-26
Sweden,Midsommardagen,Midsommardagen,,SE,2010-06-26
Norway,Søndag,Søndag,,NO,2010-06-27
Sweden,Söndag,Söndag,,SE,2010-06-27
Ukraine,День Конституції України,День Конституції України,,UA,2010-06-28
Canada,Canada Day,Canada Day,,CA,2010-07-01
Belarus,День Независимости Республики Беларусь (День Республики),День Независимости Республики Беларусь (День Республики),,BY,2010-07-03
Norway,Søndag,Søndag,,NO,2010-07-04
Sweden,Söndag,Söndag,,SE,2010-07-04
United States,Independence Day,Independence Day,True,US,2010-07-04
Colombia,San Pedro y San Pablo [Saint Peter and Saint Paul](Observed),San Pedro y San Pablo [Saint Peter and Saint Paul],,CO,2010-07-05
Czech,Den slovanských věrozvěstů Cyrila a Metoděje,Den slovanských věrozvěstů Cyrila a Metoděje,,CZ,2010-07-05
Isle of Man,Tynwald Day,Tynwald Day,,IM,2010-07-05
United States,Independence Day (Observed),Independence Day,True,US,2010-07-05
Czech,Den upálení mistra Jana Husa,Den upálení mistra Jana Husa,,CZ,2010-07-06
Argentina,Día de la Independencia [Independence Day],Día de la Independencia [Independence Day],,AR,2010-07-09
Norway,Søndag,Søndag,,NO,2010-07-11
Sweden,Söndag,Söndag,,SE,2010-07-11
Northern Ireland,Battle of the Boyne,Battle of the Boyne,,,2010-07-12
United Kingdom,Battle of the Boyne [Northern Ireland],Battle of the Boyne,False,GB,2010-07-12
France,Fête nationale,Fête nationale,,FR,2010-07-14
Norway,Søndag,Søndag,,NO,2010-07-18
Sweden,Söndag,Söndag,,SE,2010-07-18
Japan,海の日,海の日,,JP,2010-07-19
Colombia,Día de la Independencia [Independence Day],Día de la Independencia [Independence Day],,CO,2010-07-20
Belgium,Nationale feestdag,Nationale feestdag,,BE,2010-07-21
Norway,Søndag,Søndag,,NO,2010-07-25
Sweden,Söndag,Söndag,,SE,2010-07-25
Norway,Søndag,Søndag,,NO,2010-08-01
Sweden,Söndag,Söndag,,SE,2010-08-01
Switzerland,Nationalfeiertag,Nationalfeiertag,,CH,2010-08-01
Canada,Civic Holiday,Civic Holiday,,CA,2010-08-02
Ireland,Summer Bank Holiday,Summer Bank Holiday,,IE,2010-08-02
Scotland,Summer Bank Holiday,Summer Bank Holiday,,,2010-08-02
United Kingdom,Summer Bank Holiday [Scotland],Summer Bank Holiday,False,GB,2010-08-02
Croatia,Dan pobjede i domovinske zahvalnosti,Dan pobjede i domovinske zahvalnosti,,HR,2010-08-05
Colombia,Batalla de Boyacá [Battle of Boyacá],Batalla de Boyacá [Battle of Boyacá],,CO,2010-08-07
Norway,Søndag,Søndag,,NO,2010-08-08
Sweden,Söndag,Söndag,,SE,2010-08-08
South Africa,National Women's Day,National Women's Day,,ZA,2010-08-09
Austria,Mariä Himmelfahrt,Mariä Himmelfahrt,,AT,2010-08-15
Belgium,O.L.V. Hemelvaart,O.L.V. Hemelvaart,,BE,2010-08-15
Croatia,Velika Gospa,Velika Gospa,,HR,2010-08-15
France,Assomption,Assomption,,FR,2010-08-15
India,Independence Day,Independence Day,True,IN,2010-08-15
Italy,Assunzione della Vergine,Assunzione della Vergine,,IT,2010-08-15
Norway,Søndag,Søndag,,NO,2010-08-15
Poland,Wniebowzięcie Najświętszej Marii Panny,Wniebowzięcie Najświętszej Marii Panny,,PL,2010-08-15
Portugal,Assunção de Nossa Senhora,Assunção de Nossa Senhora,,PT,2010-08-15
Slovenia,Marijino vnebovzetje,Marijino vnebovzetje,,SI,2010-08-15
Spain,Asunción de la Virgen,Asunción de la Virgen,,ES,2010-08-15
Sweden,Söndag,Söndag,,SE,2010-08-15
Colombia,La Asunción [Assumption of Mary](Observed),La Asunción [Assumption of Mary],,CO,2010-08-16
Argentina,Día Pase a la Inmortalidad del General D. José de San Martin [Day Pass to the Immortality of General D. José de San Martin],Día Pase a la Inmortalidad del General D. José de San Martin [Day Pass to the Immortality of General D. José de San Martin],,AR,2010-08-17
Hungary,Az államalapítás ünnepe,Az államalapítás ünnepe,,HU,2010-08-20
Norway,Søndag,Søndag,,NO,2010-08-22
Sweden,Söndag,Söndag,,SE,2010-08-22
Ukraine,День незалежності України,День незалежності України,,UA,2010-08-24
Norway,Søndag,Søndag,,NO,2010-08-29
Sweden,Söndag,Söndag,,SE,2010-08-29
England,Late Summer Bank Holiday,Late Summer Bank Holiday,,,2010-08-30
Isle of Man,Late Summer Bank Holiday,Late Summer Bank Holiday,,IM,2010-08-30
Northern Ireland,Late Summer Bank Holiday,Late Summer Bank Holiday,,,2010-08-30
United Kingdom,"Late Summer Bank Holiday [England, Wales, Northern Ireland]",Late Summer Bank Holiday,True,GB,2010-08-30
Wales,Late Summer Bank Holiday,Late Summer Bank Holiday,,,2010-08-30
Norway,Søndag,Søndag,,NO,2010-09-05
Sweden,Söndag,Söndag,,SE,2010-09-05
Canada,Labour Day,Labour Day,,CA,2010-09-06
United States,Labor Day,Labor Day,True,US,2010-09-06
Brazil,Independência do Brasil,Independência do Brasil,,BR,2010-09-07
Norway,Søndag,Søndag,,NO,2010-09-12
Sweden,Söndag,Söndag,,SE,2010-09-12
Mexico,Día de la Independencia [Independence Day],Día de la Independencia [Independence Day],,MX,2010-09-16
Norway,Søndag,Søndag,,NO,2010-09-19
Sweden,Söndag,Söndag,,SE,2010-09-19
Japan,敬老の日,敬老の日,,JP,2010-09-20
Japan,秋分の日,秋分の日,,JP,2010-09-23
South Africa,Heritage Day,Heritage Day,,ZA,2010-09-24
Norway,Søndag,Søndag,,NO,2010-09-26
Sweden,Söndag,Söndag,,SE,2010-09-26
Czech,Den české státnosti,Den české státnosti,,CZ,2010-09-28
India,Gandhi Jayanti,Gandhi Jayanti,True,IN,2010-10-02
Germany,Tag der Deutschen Einheit,Tag der Deutschen Einheit,,DE,2010-10-03
Norway,Søndag,Søndag,,NO,2010-10-03
Sweden,Söndag,Söndag,,SE,2010-10-03
Portugal,Implantação da República,Implantação da República,,PT,2010-10-05
Croatia,Dan neovisnosti,Dan neovisnosti,,HR,2010-10-08
Norway,Søndag,Søndag,,NO,2010-10-10
Sweden,Söndag,Söndag,,SE,2010-10-10
Canada,Thanksgiving,Thanksgiving,,CA,2010-10-11
Japan,体育の日,体育の日,,JP,2010-10-11
United States,Columbus Day,Columbus Day,False,US,2010-10-11
Argentina,Día del Respeto a la Diversidad Cultural [Respect for Cultural Diversity Day],Día del Respeto a la Diversidad Cultural [Respect for Cultural Diversity Day],,AR,2010-10-12
Brazil,Nossa Senhora Aparecida,Nossa Senhora Aparecida,,BR,2010-10-12
Spain,Día de la Hispanidad,Día de la Hispanidad,,ES,2010-10-12
Norway,Søndag,Søndag,,NO,2010-10-17
Sweden,Söndag,Söndag,,SE,2010-10-17
Colombia,Descubrimiento de América [Discovery of America](Observed),Descubrimiento de América [Discovery of America],,CO,2010-10-18
Hungary,Nemzeti ünnep,Nemzeti ünnep,,HU,2010-10-23
Norway,Søndag,Søndag,,NO,2010-10-24
Sweden,Söndag,Söndag,,SE,2010-10-24
Ireland,October Bank Holiday,October Bank Holiday,,IE,2010-10-25
New Zealand,Labour Day,Labour Day,,NZ,2010-10-25
Austria,Nationalfeiertag,Nationalfeiertag,,AT,2010-10-26
Czech,Den vzniku samostatného československého státu,Den vzniku samostatného československého státu,,CZ,2010-10-28
Norway,Søndag,Søndag,,NO,2010-10-31
Slovenia,dan reformacije,dan reformacije,,SI,2010-10-31
Sweden,Söndag,Söndag,,SE,2010-10-31
Austria,Allerheiligen,Allerheiligen,,AT,2010-11-01
Belgium,Allerheiligen,Allerheiligen,,BE,2010-11-01
Colombia,Dia de Todos los Santos [All Saint's Day],Dia de Todos los Santos [All Saint's Day],,CO,2010-11-01
Croatia,Svi sveti,Svi sveti,,HR,2010-11-01
France,Toussaint,Toussaint,,FR,2010-11-01
Hungary,Mindenszentek,Mindenszentek,,HU,2010-11-01
Italy,Tutti i Santi,Tutti i Santi,,IT,2010-11-01
Poland,Uroczystość Wszystkich świętych,Uroczystość Wszystkich świętych,,PL,2010-11-01
Portugal,Dia de Todos os Santos,Dia de Todos os Santos,,PT,2010-11-01
Slovenia,dan spomina na mrtve,dan spomina na mrtve,,SI,2010-11-01
Spain,Todos los Santos,Todos los Santos,,ES,2010-11-01
Brazil,Finados,Finados,,BR,2010-11-02
Japan,文化の日,文化の日,,JP,2010-11-03
Finland,Pyhäinpäivä,Pyhäinpäivä,,FI,2010-11-06
Sweden,Alla helgons dag,Alla helgons dag,,SE,2010-11-06
Belarus,День Октябрьской революции,День Октябрьской революции,,BY,2010-11-07
Norway,Søndag,Søndag,,NO,2010-11-07
Sweden,Söndag,Söndag,,SE,2010-11-07
Belgium,Wapenstilstand,Wapenstilstand,,BE,2010-11-11
France,Armistice 1918,Armistice 1918,,FR,2010-11-11
Poland,Narodowe Święto Niepodległości,Narodowe Święto Niepodległości,,PL,2010-11-11
United States,Veterans Day,Veterans Day,False,US,2010-11-11
Norway,Søndag,Søndag,,NO,2010-11-14
Sweden,Söndag,Söndag,,SE,2010-11-14
Brazil,Proclamação da República,Proclamação da República,,BR,2010-11-15
Colombia,Independencia de Cartagena [Independence of Cartagena](Observed),Independencia de Cartagena [Independence of Cartagena],,CO,2010-11-15
Mexico,Día de la Revolución [Revolution Day] (Observed),Día de la Revolución [Revolution Day],,MX,2010-11-15
Czech,Den boje za svobodu a demokracii,Den boje za svobodu a demokracii,,CZ,2010-11-17
Argentina,Día Nacional de la Soberanía [National Sovereignty Day],Día Nacional de la Soberanía [National Sovereignty Day],,AR,2010-11-20
Mexico,Día de la Revolución [Revolution Day],Día de la Revolución [Revolution Day],,MX,2010-11-20
Norway,Søndag,Søndag,,NO,2010-11-21
Sweden,Söndag,Söndag,,SE,2010-11-21
Japan,勤労感謝の日,勤労感謝の日,,JP,2010-11-23
United States,Thanksgiving,Thanksgiving,True,US,2010-11-25
Norway,Søndag,Søndag,,NO,2010-11-28
Sweden,Söndag,Söndag,,SE,2010-11-28
Scotland,St. Andrew's Day,St. Andrew's Day,,,2010-11-30
United Kingdom,St. Andrew's Day [Scotland],St. Andrew's Day,False,GB,2010-11-30
Portugal,Restauração da Independência,Restauração da Independência,,PT,2010-12-01
Norway,Søndag,Søndag,,NO,2010-12-05
Sweden,Söndag,Söndag,,SE,2010-12-05
Finland,Itsenäisyyspäivä,Itsenäisyyspäivä,,FI,2010-12-06
Spain,Día de la constitución Española,Día de la constitución Española,,ES,2010-12-06
Argentina,La Inmaculada Concepción [Immaculate Conception],La Inmaculada Concepción [Immaculate Conception],,AR,2010-12-08
Austria,Mariä Empfängnis,Mariä Empfängnis,,AT,2010-12-08
Colombia,La Inmaculada Concepción [Immaculate Conception],La Inmaculada Concepción [Immaculate Conception],,CO,2010-12-08
Italy,Immacolata Concezione,Immacolata Concezione,,IT,2010-12-08
Portugal,Imaculada Conceição,Imaculada Conceição,,PT,2010-12-08
Spain,La Inmaculada Concepción,La Inmaculada Concepción,,ES,2010-12-08
Norway,Søndag,Søndag,,NO,2010-12-12
Sweden,Söndag,Söndag,,SE,2010-12-12
South Africa,Day of Reconciliation,Day of Reconciliation,,ZA,2010-12-16
Norway,Søndag,Søndag,,NO,2010-12-19
Sweden,Söndag,Söndag,,SE,2010-12-19
Japan,天皇誕生日,天皇誕生日,,JP,2010-12-23
Canada,Christmas Day (Observed),Christmas Day,,CA,2010-12-24
Czech,Štědrý den,Štědrý den,,CZ,2010-12-24
Finland,Jouluaatto,Jouluaatto,,FI,2010-12-24
Hungary,Szenteste,Szenteste,,HU,2010-12-24
Mexico,Transmisión del Poder Ejecutivo Federal [Change of Federal Government] (Observed),Transmisión del Poder Ejecutivo Federal [Change of Federal Government],,MX,2010-12-24
Sweden,Julafton,Julafton,,SE,2010-12-24
United States,Christmas Day (Observed),Christmas Day,True,US,2010-12-24
Argentina,Navidad [Christmas],Navidad [Christmas],,AR,2010-12-25
Australia,Christmas Day,Christmas Day,,AU,2010-12-25
Austria,Christtag,Christtag,,AT,2010-12-25
Belarus,Рождество Христово (католическое Рождество),Рождество Христово (католическое Рождество),,BY,2010-12-25
Belgium,Kerstmis,Kerstmis,,BE,2010-12-25
Brazil,Natal,Natal,,BR,2010-12-25
Canada,Christmas Day,Christmas Day,,CA,2010-12-25
Colombia,Navidad [Christmas],Navidad [Christmas],,CO,2010-12-25
Croatia,Božić,Božić,,HR,2010-12-25
Czech,1. svátek vánoční,1. svátek vánoční,,CZ,2010-12-25
Denmark,Juledag,Juledag,,DK,2010-12-25
England,Christmas Day,Christmas Day,,,2010-12-25
Finland,Joulupäivä,Joulupäivä,,FI,2010-12-25
France,Noël,Noël,,FR,2010-12-25
Germany,Erster Weihnachtstag,Erster Weihnachtstag,,DE,2010-12-25
Hungary,Karácsony,Karácsony,,HU,2010-12-25
India,Christmas,Christmas,False,IN,2010-12-25
Ireland,Christmas Day,Christmas Day,,IE,2010-12-25
Isle of Man,Christmas Day,Christmas Day,,IM,2010-12-25
Italy,Natale,Natale,,IT,2010-12-25
Mexico,Navidad [Christmas],Navidad [Christmas],,MX,2010-12-25
Netherlands,Eerste Kerstdag,Eerste Kerstdag,,NL,2010-12-25
New Zealand,Christmas Day,Christmas Day,,NZ,2010-12-25
Northern Ireland,Christmas Day,Christmas Day,,,2010-12-25
Norway,Første juledag,Første juledag,,NO,2010-12-25
Poland,Boże Narodzenie (pierwszy dzień),Boże Narodzenie (pierwszy dzień),,PL,2010-12-25
Portugal,Dia de Natal,Dia de Natal,,PT,2010-12-25
Scotland,Christmas Day,Christmas Day,,,2010-12-25
Slovenia,Božič,Božič,,SI,2010-12-25
South Africa,Christmas Day,Christmas Day,,ZA,2010-12-25
Spain,Navidad,Navidad,,ES,2010-12-25
Sweden,Juldagen,Juldagen,,SE,2010-12-25
Switzerland,Weihnachten,Weihnachten,,CH,2010-12-25
United Kingdom,Christmas Day,Christmas Day,True,GB,2010-12-25
United States,Christmas Day,Christmas Day,True,US,2010-12-25
Wales,Christmas Day,Christmas Day,,,2010-12-25
Australia,Boxing Day,Boxing Day,,AU,2010-12-26
Austria,Stefanitag,Stefanitag,,AT,2010-12-26
Croatia,Sveti Stjepan,Sveti Stjepan,,HR,2010-12-26
Czech,2. svátek vánoční,2. svátek vánoční,,CZ,2010-12-26
Denmark,Anden juledag,Anden juledag,,DK,2010-12-26
England,Boxing Day,Boxing Day,,,2010-12-26
Finland,Tapaninpäivä,Tapaninpäivä,,FI,2010-12-26
Germany,Zweiter Weihnachtstag,Zweiter Weihnachtstag,,DE,2010-12-26
Hungary,Karácsony másnapja,Karácsony másnapja,,HU,2010-12-26
Ireland,Boxing Day,Boxing Day,,IE,2010-12-26
Isle of Man,Boxing Day,Boxing Day,,IM,2010-12-26
Italy,Santo Stefano,Santo Stefano,,IT,2010-12-26
Netherlands,Tweede Kerstdag,Tweede Kerstdag,,NL,2010-12-26
New Zealand,Boxing Day,Boxing Day,,NZ,2010-12-26
Northern Ireland,Boxing Day,Boxing Day,,,2010-12-26
Norway,"Andre juledag, Søndag","Andre juledag, Søndag",,NO,2010-12-26
Poland,Boże Narodzenie (drugi dzień),Boże Narodzenie (drugi dzień),,PL,2010-12-26
Scotland,Boxing Day,Boxing Day,,,2010-12-26
Slovenia,dan samostojnosti in enotnosti,dan samostojnosti in enotnosti,,SI,2010-12-26
South Africa,Day of Goodwill,Day of Goodwill,,ZA,2010-12-26
Sweden,"Annandag jul, Söndag","Annandag jul, Söndag",,SE,2010-12-26
United Kingdom,Boxing Day,Boxing Day,True,GB,2010-12-26
Wales,Boxing Day,Boxing Day,,,2010-12-26
Australia,Christmas Day (Observed),Christmas Day,,AU,2010-12-27
Canada,Boxing Day (Observed),Boxing Day,,CA,2010-12-27
England,Christmas Day (Observed),Christmas Day,,,2010-12-27
Ireland,Christmas Day (Observed),Christmas Day,,IE,2010-12-27
Isle of Man,Christmas Day (Observed),Christmas Day,,IM,2010-12-27
New Zealand,Christmas Day (Observed),Christmas Day,,NZ,2010-12-27
Northern Ireland,Christmas Day (Observed),Christmas Day,,,2010-12-27
Scotland,Christmas Day (Observed),Christmas Day,,,2010-12-27
South Africa,Day of Goodwill (Observed),Day of Goodwill,,ZA,2010-12-27
United Kingdom,Christmas Day (Observed),Christmas Day,True,GB,2010-12-27
Wales,Christmas Day (Observed),Christmas Day,,,2010-12-27
Australia,Boxing Day (Observed),Boxing Day,,AU,2010-12-28
England,Boxing Day (Observed),Boxing Day,,,2010-12-28
Ireland,Boxing Day (Observed),Boxing Day,,IE,2010-12-28
Isle of Man,Boxing Day (Observed),Boxing Day,,IM,2010-12-28
New Zealand,Boxing Day (Observed),Boxing Day,,NZ,2010-12-28
Northern Ireland,Boxing Day (Observed),Boxing Day,,,2010-12-28
Scotland,Boxing Day (Observed),Boxing Day,,,2010-12-28
United Kingdom,Boxing Day (Observed),Boxing Day,True,GB,2010-12-28
Wales,Boxing Day (Observed),Boxing Day,,,2010-12-28
Canada,New Year's Day (Observed),New Year's Day,,CA,2010-12-31
Mexico,Año Nuevo [New Year's Day] (Observed),Año Nuevo [New Year's Day],,MX,2010-12-31
Sweden,Nyårsafton,Nyårsafton,,SE,2010-12-31
United States,New Year's Day (Observed),New Year's Day,True,US,2010-12-31
Argentina,Año Nuevo [New Year's Day],Año Nuevo [New Year's Day],,AR,2011-01-01
Australia,New Year's Day,New Year's Day,,AU,2011-01-01
Austria,Neujahr,Neujahr,,AT,2011-01-01
Belarus,Новый год,Новый год,,BY,2011-01-01
Belgium,Nieuwjaarsdag,Nieuwjaarsdag,,BE,2011-01-01
Brazil,Ano novo,Ano novo,,BR,2011-01-01
Canada,New Year's Day,New Year's Day,,CA,2011-01-01
Croatia,Nova Godina,Nova Godina,,HR,2011-01-01
Czech,Den obnovy samostatného českého státu,Den obnovy samostatného českého státu,,CZ,2011-01-01
Denmark,Nytårsdag,Nytårsdag,,DK,2011-01-01
England,New Year's Day,New Year's Day,,,2011-01-01
Finland,Uudenvuodenpäivä,Uudenvuodenpäivä,,FI,2011-01-01
France,Jour de l'an,Jour de l'an,,FR,2011-01-01
Germany,Neujahr,Neujahr,,DE,2011-01-01
Hungary,Újév,Újév,,HU,2011-01-01
Ireland,New Year's Day,New Year's Day,,IE,2011-01-01
Isle of Man,New Year's Day,New Year's Day,,IM,2011-01-01
Italy,Capodanno,Capodanno,,IT,2011-01-01
Japan,元日,元日,,JP,2011-01-01
Mexico,Año Nuevo [New Year's Day],Año Nuevo [New Year's Day],,MX,2011-01-01
Netherlands,Nieuwjaarsdag,Nieuwjaarsdag,,NL,2011-01-01
New Zealand,New Year's Day,New Year's Day,,NZ,2011-01-01
Northern Ireland,New Year's Day,New Year's Day,,,2011-01-01
Norway,Første nyttårsdag,Første nyttårsdag,,NO,2011-01-01
Poland,Nowy Rok,Nowy Rok,,PL,2011-01-01
Portugal,Ano Novo,Ano Novo,,PT,2011-01-01
Scotland,New Year's Day,New Year's Day,,,2011-01-01
Slovenia,novo leto,novo leto,,SI,2011-01-01
South Africa,New Year's Day,New Year's Day,,ZA,2011-01-01
Spain,Año nuevo,Año nuevo,,ES,2011-01-01
Sweden,Nyårsdagen,Nyårsdagen,,SE,2011-01-01
Switzerland,Neujahrestag,Neujahrestag,,CH,2011-01-01
Ukraine,Новий рік,Новий рік,,UA,2011-01-01
United Kingdom,New Year's Day,New Year's Day,True,GB,2011-01-01
United States,New Year's Day,New Year's Day,True,US,2011-01-01
Wales,New Year's Day,New Year's Day,,,2011-01-01
New Zealand,Day after New Year's Day,Day after New Year's Day,,NZ,2011-01-02
Norway,Søndag,Søndag,,NO,2011-01-02
Scotland,New Year Holiday,New Year Holiday,,,2011-01-02
Slovenia,novo leto,novo leto,,SI,2011-01-02
Sweden,Söndag,Söndag,,SE,2011-01-02
United Kingdom,New Year Holiday [Scotland],New Year Holiday,True,GB,2011-01-02
Australia,New Year's Day (Observed),New Year's Day,,AU,2011-01-03
England,New Year's Day (Observed),New Year's Day,,,2011-01-03
Ireland,New Year's Day (Observed),New Year's Day,,IE,2011-01-03
Isle of Man,New Year's Day (Observed),New Year's Day,,IM,2011-01-03
New Zealand,New Year's Day (Observed),New Year's Day,,NZ,2011-01-03
Northern Ireland,New Year's Day (Observed),New Year's Day,,,2011-01-03
Scotland,New Year's Day (Observed),New Year's Day,,,2011-01-03
United Kingdom,New Year's Day (Observed),New Year's Day,True,GB,2011-01-03
Wales,New Year's Day (Observed),New Year's Day,,,2011-01-03
New Zealand,Day after New Year's Day (Observed),Day after New Year's Day,,NZ,2011-01-04
Scotland,New Year Holiday (Observed),New Year Holiday,,,2011-01-04
United Kingdom,New Year Holiday [Scotland] (Observed),New Year Holiday,True,GB,2011-01-04
Austria,Heilige Drei Könige,Heilige Drei Könige,,AT,2011-01-06
Croatia,Sveta tri kralja,Sveta tri kralja,,HR,2011-01-06
Finland,Loppiainen,Loppiainen,,FI,2011-01-06
Italy,Epifania del Signore,Epifania del Signore,,IT,2011-01-06
Poland,Święto Trzech Króli,Święto Trzech Króli,,PL,2011-01-06
Spain,Epifanía del Señor,Epifanía del Señor,,ES,2011-01-06
Sweden,Trettondedag jul,Trettondedag jul,,SE,2011-01-06
Belarus,Рождество Христово (православное Рождество),Рождество Христово (православное Рождество),,BY,2011-01-07
Ukraine,Різдво Христове (православне),Різдво Христове (православне),,UA,2011-01-07
Norway,Søndag,Søndag,,NO,2011-01-09
Sweden,Söndag,Söndag,,SE,2011-01-09
Colombia,Día de los Reyes Magos [Epiphany](Observed),Día de los Reyes Magos [Epiphany],,CO,2011-01-10
Japan,成人の日,成人の日,,JP,2011-01-10
